shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
O,164,203,#FF8C00,15,True,90,0,True
L,944,136,#0064FF,35,False,270,6,True
O,83,485,#0064FF,15,True,0,1,True
L,655,684,#FF8C00,15,True,90,7,True
L,719,620,#0064FF,15,True,270,0,True
T,401,728,#FF8C00,35,False,270,193,False
O,148,529,#FF8C00,35,False,270,10,True
Q,224,571,#FF8C00,35,False,0,140,False
Q,694,164,#FF8C00,35,False,180,197,False
Q,586,601,#0064FF,35,False,0,31,True
T,513,577,#FF8C00,15,True,270,175,False
T,433,78,#FF8C00,35,False,90,194,False
Q,456,485,#FF8C00,15,True,180,198,False
T,896,723,#0064FF,15,True,90,202,False
T,385,535,#0064FF,35,False,0,194,False
Q,336,145,#0064FF,15,True,0,198,False
Q,574,722,#FF8C00,15,True,0,144,False
L,688,522,#FF8C00,35,False,180,18,True
T,588,496,#0064FF,15,True,270,107,False
Q,597,445,#0064FF,15,True,90,173,False
