shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
O,216,176,#0064FF,35,False,180,5,True
O,878,117,#0064FF,15,True,180,5,True
O,187,598,#FF8C00,35,False,180,0,True
O,756,719,#FF8C00,15,True,0,26,True
Q,776,366,#FF8C00,15,True,180,194,False
T,936,361,#FF8C00,35,False,90,189,False
T,935,251,#0064FF,15,True,0,23,True
T,709,137,#FF8C00,15,True,270,194,False
T,368,491,#0064FF,35,False,180,194,False
Q,136,552,#0064FF,35,False,90,53,True
Q,702,379,#FF8C00,15,True,0,194,False
T,785,276,#FF8C00,15,True,270,177,False
O,650,631,#FF8C00,15,True,0,194,False
T,824,484,#FF8C00,35,False,270,197,False
T,361,355,#FF8C00,15,True,270,196,False
T,602,500,#0064FF,15,True,90,194,False
Q,796,637,#FF8C00,15,True,270,174,False
Q,948,412,#FF8C00,35,False,0,199,False
L,528,374,#0064FF,35,False,0,202,False
Q,413,335,#0064FF,15,True,90,194,False
T,868,589,#FF8C00,15,True,270,194,False
Q,477,228,#FF8C00,35,False,180,194,False
T,831,744,#0064FF,15,True,270,148,False
Q,165,656,#FF8C00,35,False,0,112,False
T,596,417,#0064FF,15,True,0,201,False
O,287,685,#0064FF,35,False,0,12,True
T,545,742,#FF8C00,35,False,90,167,False
Q,94,148,#0064FF,35,False,90,31,True
L,51,530,#FF8C00,15,True,0,180,False
T,700,227,#FF8C00,35,False,270,194,False
T,369,200,#0064FF,15,True,0,201,False
Q,486,440,#0064FF,35,False,0,194,False
Q,709,446,#FF8C00,15,True,180,194,False
Q,412,68,#0064FF,35,False,270,191,False
O,243,593,#FF8C00,35,False,90,0,True
T,860,171,#0064FF,35,False,270,0,True
Q,276,276,#FF8C00,35,False,90,188,False
Q,529,319,#FF8C00,35,False,180,194,False
T,669,54,#FF8C00,15,True,0,197,False
Q,457,717,#FF8C00,35,False,180,161,False
T,498,598,#FF8C00,35,False,0,196,False
Q,936,582,#FF8C00,35,False,0,194,False
L,166,72,#0064FF,15,True,180,0,True
Q,691,279,#FF8C00,15,True,90,196,False
Q,52,666,#FF8C00,35,False,0,198,False
Q,888,532,#FF8C00,15,True,0,194,False
T,336,726,#FF8C00,15,True,270,0,True
T,548,513,#0064FF,35,False,0,194,False
T,226,535,#0064FF,35,False,90,0,True
T,395,747,#0064FF,35,False,90,14,True
Q,284,426,#0064FF,15,True,90,198,False
Q,416,579,#0064FF,15,True,180,185,False
Q,341,600,#FF8C00,35,False,0,53,True
T,596,695,#FF8C00,15,True,0,158,False
T,548,64,#0064FF,35,False,180,194,False
Q,571,233,#0064FF,15,True,0,194,False
Q,900,665,#0064FF,15,True,180,201,False
T,59,247,#FF8C00,15,True,270,186,False
T,525,175,#FF8C00,15,True,0,194,False
L,333,111,#0064FF,15,True,90,202,False
T,757,196,#0064FF,15,True,0,167,False
Q,401,127,#FF8C00,15,True,90,193,False
T,765,460,#0064FF,35,False,90,194,False
T,538,113,#0064FF,35,False,90,194,False
Q,75,342,#FF8C00,35,False,0,194,False
Q,157,744,#0064FF,15,True,180,194,False
T,929,126,#0064FF,15,True,270,0,True
L,164,189,#FF8C00,35,False,0,10,True
Q,220,393,#0064FF,15,True,90,193,False
T,318,162,#FF8C00,35,False,180,181,False
T,135,331,#0064FF,15,True,0,198,False
T,713,650,#FF8C00,15,True,180,148,False
T,653,166,#0064FF,35,False,180,194,False
Q,682,735,#0064FF,15,True,180,0,True
O,475,502,#0064FF,15,True,0,194,False
L,216,642,#0064FF,35,False,0,23,True
Q,638,313,#FF8C00,15,True,180,194,False
Q,461,277,#0064FF,35,False,270,194,False
Q,618,120,#0064FF,15,True,90,199,False
L,909,195,#FF8C00,15,True,180,3,True
Q,756,529,#0064FF,35,False,0,194,False
Q,478,148,#0064FF,35,False,90,194,False
Q,105,269,#0064FF,15,True,0,177,False
T,806,414,#FF8C00,35,False,90,193,False
T,400,278,#0064FF,35,False,270,200,False
